date,open,high,low,last,close,number_of_shares,number_of_trades,turnover
2024-10-15,1450.46,1451.28,1433.45,1438.27,1438.27,0,0,0
2024-10-16,1438.27,1444.38,1435.76,1441.83,1441.83,0,0,0
2024-10-17,1441.88,1448.75,1437.2,1443.94,1443.94,0,0,0
2024-10-18,1444.03,1449.17,1432.86,1433.62,1433.62,0,0,0
2024-10-21,1433.68,1445.86,1433.68,1438.55,1438.55,0,0,0
2024-10-22,1438.55,1448.34,1438.55,1444.02,1444.02,0,0,0
2024-10-23,1444.11,1447.82,1434.9,1439.93,1439.93,0,0,0
2024-10-24,1439.86,1453.24,1439.09,1446.48,1446.48,0,0,0
2024-10-25,1446.48,1461.28,1446.48,1461.21,1461.21,0,0,0
2024-10-28,1462.13,1462.13,1440.17,1449.88,1449.88,0,0,0
2024-10-29,1451.08,1460.88,1448.57,1449.39,1449.39,0,0,0
2024-10-30,1449.88,1455.09,1447.01,1449.57,1449.57,0,0,0
2024-10-31,1449.78,1449.78,1427.94,1431.41,1431.41,0,0,0
2024-11-01,1431.56,1439.72,1429.28,1433.2,1433.2,0,0,0
2024-11-04,1434.87,1438.17,1426.69,1426.69,1426.69,0,0,0
2024-11-05,1425.51,1433.52,1419.19,1432.66,1432.66,0,0,0
2024-11-06,1432.78,1438.68,1412.58,1414.43,1414.43,0,0,0
2024-11-07,1414.48,1428.27,1414.48,1421.23,1421.23,0,0,0
2024-11-08,1421.79,1427.24,1413.72,1416.42,1416.42,0,0,0
2024-11-11,1416.51,1428.18,1416.51,1419.61,1419.61,0,0,0
2024-11-12,1419.69,1419.74,1408.59,1411.19,1411.19,0,0,0
2024-11-13,1411.15,1412.84,1402.42,1402.42,1402.42,0,0,0
2024-11-14,1402.83,1428.31,1402.69,1426.26,1426.26,0,0,0
2024-11-15,1426.85,1445.57,1419.32,1445.01,1445.01,0,0,0
2024-11-18,1448.07,1448.09,1431.94,1441.81,1441.81,0,0,0
2024-11-19,1441.83,1444.71,1433.08,1442.97,1442.97,0,0,0
2024-11-20,1443.22,1458.56,1443.22,1452.15,1452.15,0,0,0
2024-11-21,1452.43,1465.91,1450.59,1464.83,1464.83,0,0,0
2024-11-22,1464.83,1471.16,1462.45,1468.66,1468.66,0,0,0
2024-11-25,1468.66,1480.46,1468.55,1471.7,1471.7,0,0,0
2024-11-26,1471.76,1471.86,1452.05,1452.05,1452.05,0,0,0
2024-11-27,1452.05,1458.79,1448.58,1457.03,1457.03,0,0,0
2024-11-28,1457.63,1461.14,1453.44,1456.97,1456.97,0,0,0
2024-11-29,1456.93,1458.12,1452.39,1454.21,1454.21,0,0,0
2024-12-02,1454.22,1458.0,1452.33,1454.77,1454.77,0,0,0
2024-12-03,1454.83,1472.02,1454.43,1469.43,1469.43,0,0,0
2024-12-04,1469.42,1481.23,1469.42,1472.91,1472.91,0,0,0
2024-12-05,1473.8,1476.53,1467.62,1472.08,1472.08,0,0,0
2024-12-06,1472.28,1473.37,1448.86,1449.58,1449.58,0,0,0
2024-12-09,1449.74,1459.1,1449.69,1454.92,1454.92,0,0,0
2024-12-10,1455.14,1455.14,1444.47,1447.17,1447.17,0,0,0
