strategy,price_lookback,short_lookback,volume_fast,volume_slow,breakout_lookback,ma_days,risk_lookback,accumulation_lookback,liquidity_lookback,min_liquidity_quantile,top_n,strategy_total_return,strategy_annualized_return,strategy_max_drawdown,strategy_sharpe,equal_weight_total_return,osebx_total_return,excess_vs_osebx
volume_trend_confirmation,63,21,5,20,63,50,63,63,20,0.25,10,0.057131074568030904,0.028266884730919317,-0.022286600623088182,0.6589876064867983,0.37680370343265723,0.39099862331886404,-0.33386754875083313
momentum_volume,63,21,5,20,63,50,63,63,20,0.25,10,0.056708645602976615,0.02806071125713272,-0.02255110898454249,0.6370375732892186,0.37680370343265723,0.39099862331886404,-0.3342899777158874
liquidity_momentum,21,21,10,50,63,50,63,63,20,0.25,10,0.05634220661599065,0.02788183135570721,-0.022428611400195808,0.6054658005025526,0.37680370343265723,0.39099862331886404,-0.3346564167028734
momentum_volume,42,21,20,100,63,50,63,63,20,0.25,10,0.0561096736258726,0.027768302620693408,-0.024707051866122542,0.6617801328700578,0.37680370343265723,0.39099862331886404,-0.33488894969299143
momentum_volume,63,21,10,50,63,50,63,63,20,0.25,10,0.055505195685952025,0.0274731222704665,-0.02255110898454271,0.6243655415980529,0.37680370343265723,0.39099862331886404,-0.335493427632912
momentum_volume,21,21,20,100,63,50,63,63,20,0.25,5,0.05519427677513811,0.027321260676656633,-0.0495016282390881,0.4909212295647696,0.37680370343265723,0.39099862331886404,-0.33580434654372593
obv_accumulation,21,21,20,100,63,50,63,63,20,0.25,8,0.05490610990898803,0.027180491915095084,-0.042040512621382864,0.5140770945602626,0.37680370343265723,0.39099862331886404,-0.336092513409876
breakout_volume,189,21,5,20,126,50,63,63,20,0.25,5,0.05458329337095269,0.02702277412223486,-0.014490018675181404,0.7177082934021151,0.37680370343265723,0.39099862331886404,-0.33641532994791135
volume_trend_confirmation,42,21,10,50,63,50,63,63,20,0.25,8,0.05454089529545891,0.027002057997066453,-0.022394562188766787,0.6042370578139099,0.37680370343265723,0.39099862331886404,-0.3364577280234051
obv_accumulation,63,21,10,50,63,50,63,63,20,0.25,8,0.05450035153500421,0.026982247520642932,-0.022150038567503194,0.66466433523367,0.37680370343265723,0.39099862331886404,-0.3364982717838598
risk_adjusted_momentum,63,21,10,50,63,50,63,63,20,0.25,10,0.05422545328200701,0.026847916831613583,-0.02255110898454271,0.6392847178592341,0.37680370343265723,0.39099862331886404,-0.33677317003685703
breakout_volume,189,21,5,20,63,50,63,63,20,0.25,10,0.05407060275597053,0.026772240503230682,-0.020104622285731177,0.6851298147623629,0.37680370343265723,0.39099862331886404,-0.3369280205628935
breakout_volume,189,21,5,20,63,50,63,63,20,0.25,8,0.05407060275597053,0.026772240503230682,-0.020104622285731177,0.6851298147623629,0.37680370343265723,0.39099862331886404,-0.3369280205628935
risk_adjusted_momentum,189,21,10,50,63,50,63,63,20,0.25,3,0.05388784412240355,0.026682918197259875,-0.03288711891688367,0.5557161614926459,0.37680370343265723,0.39099862331886404,-0.3371107791964605
momentum_volume,42,21,10,50,63,50,63,63,20,0.25,10,0.05371352371499172,0.026597712837024945,-0.024707051866122653,0.6245232399217975,0.37680370343265723,0.39099862331886404,-0.3372850996038723
breakout_volume,42,21,5,20,126,50,63,63,20,0.25,5,0.0532117671293062,0.026352422072250636,-0.019237801494563223,0.6454811028146608,0.37680370343265723,0.39099862331886404,-0.33778685618955784
volume_trend_confirmation,42,21,20,100,63,50,63,63,20,0.25,10,0.05317718324220144,0.02633551310776494,-0.02775054204031857,0.6283130914365255,0.37680370343265723,0.39099862331886404,-0.3378214400766626
volume_trend_confirmation,42,21,10,50,63,50,63,63,20,0.25,10,0.05270603823786413,0.026105130461157477,-0.02775054204031846,0.6063460813116867,0.37680370343265723,0.39099862331886404,-0.3382925850809999
volume_trend_confirmation,63,21,10,50,63,50,63,63,20,0.25,8,0.05267953916241508,0.02609217129567254,-0.022707349338982774,0.5809003343055654,0.37680370343265723,0.39099862331886404,-0.33831908415644896
breakout_volume,42,21,5,20,126,50,63,63,20,0.25,8,0.051821520502170815,0.02567247610747403,-0.018161508415503458,0.6439715215044971,0.37680370343265723,0.39099862331886404,-0.3391771028166932
breakout_volume,42,21,5,20,126,50,63,63,20,0.25,10,0.051821520502170815,0.02567247610747403,-0.018161508415503458,0.6439715215044971,0.37680370343265723,0.39099862331886404,-0.3391771028166932
obv_accumulation,63,21,10,50,63,50,63,63,20,0.25,10,0.051641335892068874,0.025584318108189397,-0.021780236352104465,0.6749826497018687,0.37680370343265723,0.39099862331886404,-0.33935728742679516
breakout_volume,189,21,5,20,63,50,63,63,20,0.25,3,0.05162323766176691,0.0255754628640108,-0.02158982987452862,0.555035610122688,0.37680370343265723,0.39099862331886404,-0.33937538565709713
obv_accumulation,21,21,5,20,63,50,63,63,20,0.25,8,0.05086174626162965,0.025202805535338824,-0.04080891705208811,0.47732249817228706,0.37680370343265723,0.39099862331886404,-0.3401368770572344
quiet_accumulation,63,21,10,50,63,50,63,63,20,0.25,5,0.05058522561131973,0.025067449042739387,-0.018213918587767997,0.73425739835748,0.37680370343265723,0.39099862331886404,-0.3404133977075443
breakout_volume,63,21,5,20,126,50,63,63,20,0.25,5,0.050004202489543736,0.024782981142560834,-0.019237801494563223,0.5969220236600614,0.37680370343265723,0.39099862331886404,-0.3409944208293203
volume_reversal,126,21,10,50,63,50,63,63,20,0.25,10,0.04987756516063535,0.024720969318771324,-0.014431041945259793,0.6935775537053372,0.37680370343265723,0.39099862331886404,-0.3411210581582287
risk_adjusted_momentum,21,21,10,50,63,50,63,63,20,0.25,8,0.04965309946256169,0.0246110436966811,-0.044619017287041096,0.4681082807181161,0.37680370343265723,0.39099862331886404,-0.34134552385630235
breakout_volume,126,21,5,20,126,50,63,63,20,0.25,5,0.04933089648188571,0.02445323357439455,-0.019237801494563223,0.5961616258640768,0.37680370343265723,0.39099862331886404,-0.3416677268369783
risk_adjusted_momentum,42,21,20,100,63,50,63,63,20,0.25,10,0.04908680804702836,0.024333666694559053,-0.024707051866122653,0.5913907177215815,0.37680370343265723,0.39099862331886404,-0.3419118152718357
risk_adjusted_momentum,63,21,5,20,63,50,63,63,20,0.25,10,0.049001139867139276,0.024291698794203453,-0.02255110898454249,0.5696097755822647,0.37680370343265723,0.39099862331886404,-0.34199748345172476
breakout_volume,63,21,5,20,126,50,63,63,20,0.25,8,0.048618189869339634,0.024104074913263496,-0.018161508415503458,0.5939811644996362,0.37680370343265723,0.39099862331886404,-0.3423804334495244
breakout_volume,63,21,5,20,126,50,63,63,20,0.25,10,0.048618189869339634,0.024104074913263496,-0.018161508415503458,0.5939811644996362,0.37680370343265723,0.39099862331886404,-0.3423804334495244
breakout_liquidity,126,21,10,50,126,50,63,63,20,0.25,3,0.048412170797996756,0.024003123073681687,-0.04079611297083496,0.42149495533304493,0.37680370343265723,0.39099862331886404,-0.3425864525208673
risk_adjusted_momentum,63,21,20,100,63,50,63,63,20,0.25,8,0.048410885412842664,0.02400249318836467,-0.0292470755845321,0.5546917403031811,0.37680370343265723,0.39099862331886404,-0.3425877379060214
obv_accumulation,21,21,10,50,63,50,63,63,20,0.25,8,0.04831443571745919,0.023955228243828897,-0.04132190137470826,0.45525818050427697,0.37680370343265723,0.39099862331886404,-0.34268418760140484
risk_adjusted_momentum,42,21,10,50,63,50,63,63,20,0.25,10,0.04827124085048706,0.023934059999183965,-0.024707051866122653,0.5898711847859037,0.37680370343265723,0.39099862331886404,-0.342727382468377
volume_reversal,21,21,10,50,63,50,63,63,20,0.25,5,0.04826856657378831,0.02393274941844803,-0.021025255204125015,0.5281470905006791,0.37680370343265723,0.39099862331886404,-0.34273005674507573
obv_accumulation,63,21,5,20,63,50,63,63,20,0.25,10,0.04808754002550453,0.023844030002759364,-0.021780236352104465,0.6350390453075445,0.37680370343265723,0.39099862331886404,-0.3429110832933595
volume_reversal,63,21,10,50,63,50,63,63,20,0.25,10,0.04801196221519377,0.023806987766510135,-0.020165843982839493,0.5984978070863255,0.37680370343265723,0.39099862331886404,-0.34298666110367027
volume_trend_confirmation,63,21,5,20,63,50,63,63,20,0.25,8,0.047638300359484465,0.023623828858909457,-0.02768155067907563,0.5501950418264694,0.37680370343265723,0.39099862331886404,-0.34336032295937957
volume_reversal,126,21,10,50,63,50,63,63,20,0.25,8,0.0475215757637939,0.023566606955567337,-0.015957163377531502,0.6619338765404938,0.37680370343265723,0.39099862331886404,-0.34347704755507014
momentum_volume,63,21,5,20,63,50,63,63,20,0.25,8,0.04740651065736312,0.023510195473913198,-0.02433701374287034,0.5549308195940915,0.37680370343265723,0.39099862331886404,-0.3435921126615009
volume_trend_confirmation,42,21,5,20,63,50,63,63,20,0.25,10,0.0473587449507713,0.023486777091674682,-0.02775054204031846,0.5600705266613994,0.37680370343265723,0.39099862331886404,-0.34363987836809273
breakout_volume,126,21,5,20,126,50,63,63,20,0.25,8,0.047296480096680193,0.023456249325569445,-0.018161508415503458,0.5849183546355798,0.37680370343265723,0.39099862331886404,-0.34370214322218384
breakout_volume,126,21,5,20,126,50,63,63,20,0.25,10,0.047296480096680193,0.023456249325569445,-0.018161508415503458,0.5849183546355798,0.37680370343265723,0.39099862331886404,-0.34370214322218384
risk_adjusted_momentum,63,21,10,50,63,50,63,63,20,0.25,5,0.047232136197292274,0.023424701276475002,-0.03497718735752564,0.465964125350822,0.37680370343265723,0.39099862331886404,-0.34376648712157176
