date,AFG,AKRBP,ATEA,BRG,DNB,ELK,EQNR,FRO,GJF,KOG,MOWI,MPCC,NHY,NOD,ORK,PROT,SALM,STB,SUBC,TEL,TOM,VAR,VEI,VEND,YAR
2000-03-24,361000.0,,182857.0,,631878.0,,2614880.0,38965.0,,143331.0,469.0,,9712286.0,2032500.0,4039700.0,,,1703092.0,29400.0,,1865376.0,,3590000.0,,
2000-03-27,0.0,,202655.0,,333232.0,,1546440.0,45862.0,,582443.0,1968.0,,5743845.0,990650.0,5184450.0,,,1748362.0,60200.0,,813808.0,,345000.0,,
2000-03-28,20000.0,,355063.0,,661526.0,,1303225.0,49797.0,,1330642.0,2739.0,,4840487.0,330000.0,6629150.0,,,700249.0,90100.0,,828160.0,,130750.0,,
2000-03-29,0.0,,194945.0,,1016833.0,,1309090.0,37481.0,,470306.0,2580.0,,4862271.0,662500.0,9405450.0,,,653350.0,55750.0,,1697392.0,,218000.0,,
2000-03-30,15000.0,,112167.0,,138377.0,,3416955.0,39232.0,,879421.0,810.0,,12691383.0,375000.0,5591900.0,,,246514.0,75700.0,,2491896.0,,260000.0,,
2000-03-31,0.0,,264549.0,,2339526.0,,3780835.0,235673.0,,35176.0,1919.0,,14042920.0,540000.0,13567675.0,,,669114.0,52300.0,,2860024.0,,1690000.0,,
2000-04-03,10000.0,,131057.0,,1158646.0,,3406780.0,79844.0,,117409.0,2115.0,,12653591.0,1527500.0,14772500.0,,,768332.0,77500.0,,1670992.0,,1810000.0,,
2000-04-04,2132000.0,,178369.0,,1571385.0,,5449610.0,34152.0,,530162.0,698.0,,20241147.0,305000.0,7583075.0,,,671850.0,245260.0,,770400.0,,300000.0,,
2000-04-05,761000.0,,207674.0,,1670850.0,,3384200.0,62048.0,,2457430.0,1751.0,,12569723.0,435000.0,22357250.0,,,625615.0,55703.0,,1651200.0,,367500.0,,
2000-04-06,301500.0,,288113.0,,866591.0,,2708300.0,19908.0,,313092.0,831.0,,10059270.0,135000.0,6073225.0,,,208789.0,31810.0,,1601304.0,,5000.0,,
2000-04-07,0.0,,402692.0,,527275.0,,3689315.0,22378.0,,581292.0,1545.0,,13702993.0,480550.0,10634700.0,,,263955.0,10107.0,,403400.0,,60000.0,,
2000-04-10,272000.0,,98692.0,,2238270.0,,1517710.0,20883.0,,1241434.0,1915.0,,5637135.0,185000.0,23438525.0,,,640910.0,1200.0,,417072.0,,990000.0,,
2000-04-11,510000.0,,113820.0,,536127.0,,2013225.0,42599.0,,653810.0,1114.0,,7477596.0,115025.0,6287125.0,,,2848732.0,46200.0,,412288.0,,130000.0,,
2000-04-12,1588500.0,,177850.0,,341085.0,,1420655.0,28361.0,,269788.0,546.0,,5276650.0,645000.0,32791075.0,,,1007425.0,131300.0,,863424.0,,1530875.0,,
2000-04-13,1865500.0,,315117.0,,890899.0,,3047970.0,170066.0,,930068.0,452.0,,11320885.0,482500.0,19066200.0,,,7110740.0,160400.0,,862184.0,,927300.0,,
2000-04-14,1000.0,,250622.0,,1166748.0,,2662155.0,139263.0,,569551.0,4990.0,,9887876.0,352500.0,11507925.0,,,507241.0,86600.0,,0.0,,6923500.0,,
2000-04-17,2000.0,,334225.0,,937067.0,,3254985.0,35665.0,,361460.0,2048.0,,12089788.0,285000.0,11016050.0,,,548237.0,40400.0,,841392.0,,50000.0,,
2000-04-18,3000.0,,406389.0,,3183458.0,,4311325.0,28772.0,,111193.0,782.0,,16013286.0,112500.0,451377775.0,,,426005.0,41900.0,,703808.0,,271525.0,,
2000-04-19,0.0,,117736.0,,643291.0,,1152970.0,31410.0,,2302.0,842.0,,4282404.0,52500.0,10464950.0,,,87809.0,42200.0,,518216.0,,85600.0,,
2000-04-20,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,
2000-04-21,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,
2000-04-24,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,
2000-04-25,1006000.0,,162686.0,,5535827.0,,3569660.0,62453.0,,57922.0,1810.0,,13258566.0,25000.0,153019675.0,,,74029.0,47745.0,,1722008.0,,235000.0,,
2000-04-26,283000.0,,204490.0,,1849496.0,,4667875.0,37200.0,,90543.0,2651.0,,17337597.0,827500.0,41987350.0,,,426190.0,11411.0,,3055624.0,,235000.0,,
2000-04-27,0.0,,185843.0,,1368808.0,,4320115.0,74135.0,,639997.0,2536.0,,16045934.0,1131000.0,35164225.0,,,443695.0,4000.0,,3839272.0,,125000.0,,
2000-04-28,2540.0,,97607.0,,2195381.0,,5352620.0,156155.0,,2193948.0,1878.0,,19880903.0,1880000.0,26386650.0,,,216220.0,15600.0,,1696664.0,,420675.0,,
2000-05-01,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,
2000-05-02,1000.0,,186924.0,,6400243.0,,4513385.0,240149.0,,3950489.0,976.0,,16763785.0,668750.0,32837350.0,,,7385416.0,24700.0,,781384.0,,45000.0,,
2000-05-03,250000.0,,143155.0,,544646.0,,6007970.0,429297.0,,273449.0,3181.0,,22315029.0,1560000.0,25569700.0,,,3520432.0,66700.0,,2472920.0,,1127000.0,,
2000-05-04,278000.0,,197034.0,,800461.0,,5012775.0,223616.0,,1197118.0,3562.0,,18618638.0,227500.0,15311425.0,,,416603.0,500.0,,1590064.0,,1028875.0,,
2000-05-05,952000.0,,215673.0,,2029997.0,,2593025.0,13332.0,,493074.0,2070.0,,9631111.0,67500.0,8154675.0,,,1145498.0,42100.0,,1883032.0,,345000.0,,
2000-05-08,1461000.0,,182837.0,,0.0,,2135620.0,29996.0,,62319.0,1658.0,,7932200.0,107500.0,11357375.0,,,1307750.0,28400.0,,0.0,,36500.0,,
2000-05-09,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,
2000-05-10,487500.0,,150115.0,,0.0,,2287800.0,56080.0,,780428.0,2269.0,,8497433.0,40000.0,13072700.0,,,1261897.0,0.0,,1256368.0,,512500.0,,
2000-05-11,8000.0,,190428.0,,927149.0,,2380355.0,46921.0,,26359.0,2849.0,,8841204.0,32500.0,5073775.0,,,361574.0,67000.0,,1523408.0,,150000.0,,
2000-05-12,11000.0,,347032.0,,410536.0,,1300125.0,29911.0,,427509.0,2082.0,,4828973.0,1562500.0,7529025.0,,,303520.0,8640.0,,2045896.0,,197500.0,,
2000-05-15,49000.0,,119789.0,,0.0,,2242410.0,146273.0,,354531.0,1162.0,,8328844.0,10000.0,5614700.0,,,552498.0,21400.0,,13253232.0,,215000.0,,
2000-05-16,10000.0,,60336.0,,1170232.0,,4597855.0,27808.0,,3477121.0,1828.0,,17077526.0,1583700.0,2794600.0,,,1762759.0,27550.0,,5727936.0,,2790000.0,,
2000-05-17,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,
2000-05-18,20000.0,,94347.0,,2446547.0,,7147730.0,49031.0,,239423.0,2026.0,,26548369.0,117500.0,20164100.0,,,4551414.0,171650.0,,2691096.0,,530000.0,,
2000-05-19,354000.0,,126988.0,,3326682.0,,8401265.0,40241.0,,3399584.0,1304.0,,31204296.0,450000.0,40390650.0,,,1761146.0,48650.0,,2128136.0,,917975.0,,
2000-05-22,217000.0,,98994.0,,936922.0,,1965285.0,86840.0,,250934.0,779.0,,7299535.0,135000.0,25548650.0,,,1051566.0,12700.0,,851704.0,,148500.0,,
2000-05-23,0.0,,88454.0,,2733587.0,,2099660.0,99335.0,,85755.0,957.0,,7798636.0,37500.0,58009650.0,,,5671655.0,6010.0,,3044264.0,,745000.0,,
2000-05-24,224000.0,,56870.0,,2622363.0,,3556345.0,12079.0,,663940.0,658.0,,13209111.0,25000.0,62363950.0,,,585155.0,100.0,,1501792.0,,902100.0,,
2000-05-25,7000.0,,153827.0,,727112.0,,2730935.0,182304.0,,1242240.0,2448.0,,10143342.0,0.0,25859550.0,,,257748.0,5400.0,,1744368.0,,944500.0,,
2000-05-26,0.0,,107287.0,,1673740.0,,1967625.0,72696.0,,30388.0,4056.0,,7308227.0,5000.0,19665975.0,,,6825899.0,2100.0,,3736656.0,,2550000.0,,
2000-05-29,3000.0,,46561.0,,0.0,,854855.0,36838.0,,6906.0,1072.0,,3175134.0,0.0,16993050.0,,,182341.0,500.0,,1236448.0,,4390000.0,,
2000-05-30,1000.0,,98442.0,,884963.0,,1040065.0,202217.0,,786437.0,2869.0,,3863048.0,2500.0,21671025.0,,,161794.0,6500.0,,1138896.0,,570000.0,,
2000-05-31,0.0,,107464.0,,806066.0,,889625.0,73277.0,,203095.0,1454.0,,3304278.0,12500.0,41332650.0,,,215413.0,185900.0,,3679272.0,,4950000.0,,
2000-06-01,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,
2000-06-02,0.0,,512999.0,,2034896.0,,2101750.0,76494.0,,2120280.0,3338.0,,7806399.0,5000.0,23133700.0,,,921245.0,0.0,,1822656.0,,200000.0,,
2000-06-05,0.0,,189136.0,,301122.0,,2196215.0,31505.0,,121001.0,430.0,,8157264.0,1045000.0,45764175.0,,,695227.0,10395.0,,2177840.0,,2425000.0,,
2000-06-06,0.0,,559558.0,,656544.0,,1416520.0,31554.0,,36834.0,668.0,,5261292.0,2064250.0,27294575.0,,,451826.0,8900.0,,2689264.0,,183750.0,,
2000-06-07,1005.0,,259472.0,,975400.0,,2321385.0,69756.0,,40287.0,1048.0,,8622175.0,290000.0,30942750.0,,,402152.0,36735.0,,1718184.0,,5305000.0,,
2000-06-08,0.0,,135252.0,,1448748.0,,1617990.0,190152.0,,830500.0,734.0,,6009599.0,312500.0,35772800.0,,,1330779.0,1400.0,,1148864.0,,43500.0,,
2000-06-09,0.0,,112935.0,,1362368.0,,2497395.0,720853.0,,18417.0,2397.0,,9275918.0,2040000.0,23070650.0,,,487008.0,1100.0,,659072.0,,256500.0,,
2000-06-12,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,
2000-06-13,0.0,,123926.0,,2475953.0,,3913970.0,228933.0,,873090.0,1339.0,,14537415.0,155000.0,12339800.0,,,167828.0,16000.0,,2161184.0,,90000.0,,
2000-06-14,0.0,,199163.0,,1976929.0,,2521865.0,69911.0,,660187.0,2836.0,,9366806.0,145000.0,30614725.0,,,576970.0,9600.0,,3241624.0,,285000.0,,
2000-06-15,0.0,,225559.0,,1320028.0,,2610875.0,55749.0,,830500.0,2562.0,,9697410.0,562500.0,16243175.0,,,426169.0,0.0,,3937152.0,,326650.0,,
2000-06-16,0.0,,207165.0,,710896.0,,2610775.0,136763.0,,717695.0,1808.0,,9697039.0,100000.0,58018750.0,,,603765.0,5700.0,,3503384.0,,2611500.0,,
2000-06-19,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,
2000-06-20,0.0,,230815.0,,1679999.0,,2536710.0,59703.0,,1000284.0,593.0,,9421944.0,662500.0,34282450.0,,,160654.0,0.0,,1296792.0,,5672500.0,,
2000-06-21,0.0,,57863.0,,1528329.0,,2219755.0,91088.0,,1384881.0,1337.0,,8244697.0,576875.0,16291575.0,,,868162.0,64000.0,,866848.0,,2873275.0,,
2000-06-22,0.0,,38623.0,,723895.0,,1516185.0,32275.0,,690645.0,431.0,,5631471.0,52500.0,5811250.0,,,65193.0,79035.0,,2499600.0,,1200250.0,,
2000-06-23,6480.0,,30862.0,,690234.0,,829965.0,43786.0,,349926.0,2235.0,,3082687.0,652500.0,5054525.0,,,46712.0,80600.0,,4036664.0,,5000.0,,
2000-06-26,0.0,,32020.0,,958157.0,,768505.0,11341.0,,336113.0,1248.0,,2854410.0,177500.0,2371325.0,,,360819.0,17100.0,,939840.0,,37500.0,,
2000-06-27,0.0,,212079.0,,892932.0,,1059175.0,44022.0,,282427.0,1233.0,,3934027.0,2137500.0,25139400.0,,,928448.0,129100.0,,3970896.0,,3111900.0,,
2000-06-28,0.0,,76968.0,,629279.0,,4899775.0,31716.0,,498829.0,1781.0,,18198929.0,242500.0,9448475.0,,,122786.0,22950.0,,2945848.0,,620600.0,,
2000-06-29,0.0,,32103.0,,1045899.0,,1976260.0,164353.0,,218704.0,453.0,,7340299.0,47500.0,4922850.0,,,222958.0,17300.0,,3795984.0,,189000.0,,
2000-06-30,63000.0,,48419.0,,1220954.0,,3696675.0,127382.0,,195705.0,2125.0,,13730330.0,951250.0,9749875.0,,,206545.0,5800.0,,1616200.0,,3077450.0,,
2000-07-03,1000.0,,25782.0,,237170.0,,3310180.0,26789.0,,203579.0,707.0,,12294795.0,241200.0,121949025.0,,,103418.0,12500.0,,641696.0,,435000.0,,
2000-07-04,0.0,,25142.0,,101768.0,,2087285.0,36879.0,,11510.0,1985.0,,7752672.0,55000.0,2541850.0,,,146632.0,200.0,,662928.0,,1480000.0,,
2000-07-05,0.0,,40771.0,,700254.0,,2758800.0,68687.0,,97657.0,1525.0,,10246839.0,6750.0,5393300.0,,,249307.0,0.0,,772096.0,,191750.0,,
2000-07-06,0.0,,54203.0,,1530798.0,,2616915.0,51159.0,,744169.0,4251.0,,9719844.0,756250.0,5902925.0,,,205757.0,3652.0,,1452536.0,,2505200.0,,
2000-07-07,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,
2000-07-10,0.0,,64096.0,,193353.0,,2489445.0,21821.0,,432804.0,1187.0,,9246390.0,12500.0,982450.0,,,613353.0,55100.0,,1434256.0,,385200.0,,
2000-07-11,0.0,,29359.0,,610145.0,,1683755.0,39003.0,,405984.0,1988.0,,6253866.0,65000.0,4713375.0,,,393964.0,2100.0,,597656.0,,810000.0,,
2000-07-12,0.0,,45625.0,,684315.0,,4552895.0,24692.0,,69064.0,1246.0,,16910534.0,5000.0,2442575.0,,,221160.0,50000.0,,2132200.0,,0.0,,
2000-07-13,0.0,,104124.0,,1091982.0,,989995.0,84515.0,,235417.0,3019.0,,3677076.0,142500.0,2782650.0,,,230322.0,5130.0,,1240184.0,,825600.0,,
2000-07-14,0.0,,171358.0,,403545.0,,2260485.0,55043.0,,20719.0,3831.0,,8395978.0,337500.0,5524700.0,,,251049.0,1070.0,,5272472.0,,210000.0,,
2000-07-17,4000.0,,208623.0,,724050.0,,3080810.0,68557.0,,3522.0,2541.0,,11442860.0,30000.0,2703950.0,,,757351.0,5900.0,,2215040.0,,826250.0,,
2000-07-18,1000.0,,122092.0,,1992764.0,,1259680.0,153066.0,,863881.0,1580.0,,4678751.0,130000.0,2087750.0,,,234645.0,5000.0,,676480.0,,2395000.0,,
2000-07-19,5000.0,,48280.0,,465418.0,,1790970.0,33672.0,,59809.0,1169.0,,6652088.0,7500.0,3946025.0,,,271154.0,400.0,,707184.0,,42100.0,,
2000-07-20,0.0,,74776.0,,518515.0,,1887720.0,40590.0,,117409.0,2975.0,,7011440.0,210000.0,3803300.0,,,306852.0,6600.0,,426808.0,,115000.0,,
2000-07-21,15000.0,,55008.0,,259373.0,,1524335.0,18088.0,,104172.0,2872.0,,5661742.0,45000.0,14935075.0,,,476502.0,11400.0,,1622968.0,,97500.0,,
2000-07-24,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,
2000-07-25,0.0,,85178.0,,276552.0,,2142570.0,111458.0,,97150.0,4709.0,,7958014.0,85000.0,1946325.0,,,126529.0,1500.0,,682984.0,,36150.0,,
2000-07-26,0.0,,39713.0,,264738.0,,1480875.0,166665.0,,54215.0,4356.0,,5500321.0,77500.0,7958825.0,,,144167.0,3500.0,,1143032.0,,775000.0,,
2000-07-27,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,
2000-07-28,3000.0,,64419.0,,384674.0,,2266700.0,54245.0,,64183.0,4225.0,,8419062.0,2500.0,7149125.0,,,7098388.0,12500.0,,322840.0,,1032500.0,,
