rebalance_date,asof_date,symbol,score,selected
2016-01-29,2015-10-31,GJF,0.15539020803164466,False
2016-01-29,2015-10-31,ORK,0.14617525185475574,False
2016-01-29,2015-10-31,TEL,0.1007425504775203,False
2016-01-29,2015-10-31,ATEA,0.05999432429142082,False
2016-01-29,2015-10-31,KOG,0.029414390013108027,False
2016-01-29,2015-10-31,MOWI,-0.13031626053861803,False
2016-01-29,2015-10-31,SUBC,-0.21439996867681016,False
2016-01-29,2015-10-31,EQNR,-0.4341304033513319,False
2016-01-29,2015-10-31,STB,-0.4620358816220696,False
2016-01-29,2015-10-31,FRO,-0.7505595649941591,False
2016-01-29,2015-10-31,AKRBP,-0.8402425799425961,False
2016-01-29,2015-10-31,DNB,-1.3556649018987936,False
2016-02-29,2015-12-01,AFG,0.6483459517771417,True
2016-02-29,2015-12-01,NHY,0.5718745082148077,True
2016-02-29,2015-12-01,VEND,0.3419882294069008,True
2016-02-29,2015-12-01,TOM,0.33267598469729726,True
2016-02-29,2015-12-01,SALM,0.32909957652773686,True
2016-02-29,2015-12-01,YAR,0.30101196348016535,False
2016-02-29,2015-12-01,PROT,0.2852760458559728,False
2016-02-29,2015-12-01,NOD,0.2668967902173782,False
2016-02-29,2015-12-01,VEI,0.2152022896137299,False
2016-02-29,2015-12-01,BRG,0.17843641130192145,False
2016-02-29,2015-12-01,GJF,0.15539020803164466,False
2016-02-29,2015-12-01,ORK,0.14617525185475574,False
2016-02-29,2015-12-01,TEL,0.1007425504775203,False
2016-02-29,2015-12-01,ATEA,0.05999432429142082,False
2016-02-29,2015-12-01,KOG,0.029414390013108027,False
2016-02-29,2015-12-01,MOWI,-0.13031626053861803,False
2016-02-29,2015-12-01,SUBC,-0.21439996867681016,False
2016-02-29,2015-12-01,EQNR,-0.4341304033513319,False
2016-02-29,2015-12-01,STB,-0.4620358816220696,False
2016-02-29,2015-12-01,FRO,-0.7505595649941591,False
2016-02-29,2015-12-01,AKRBP,-0.8402425799425961,False
2016-02-29,2015-12-01,DNB,-1.3556649018987936,False
2016-03-31,2016-01-01,AFG,0.8155646442312675,True
2016-03-31,2016-01-01,STB,0.6383395718485907,True
2016-03-31,2016-01-01,NHY,0.40883005841238385,True
2016-03-31,2016-01-01,SALM,0.3582517877357902,True
2016-03-31,2016-01-01,TOM,0.27898599562082116,True
2016-03-31,2016-01-01,FRO,0.23674066373579528,False
2016-03-31,2016-01-01,ORK,0.19953529751242055,False
2016-03-31,2016-01-01,ATEA,0.1811320548157499,False
2016-03-31,2016-01-01,BRG,0.1554721543847175,False
2016-03-31,2016-01-01,YAR,0.12714455145716316,False
2016-03-31,2016-01-01,VEI,0.12429611176945349,False
2016-03-31,2016-01-01,MOWI,0.10297904354383622,False
2016-03-31,2016-01-01,PROT,0.01821725757887338,False
2016-03-31,2016-01-01,SUBC,0.015514385538492742,False
2016-03-31,2016-01-01,GJF,0.0010199272664945316,False
2016-03-31,2016-01-01,TEL,-0.014948368694613797,False
2016-03-31,2016-01-01,NOD,-0.05132582397210082,False
2016-03-31,2016-01-01,KOG,-0.11682476860169991,False
2016-03-31,2016-01-01,EQNR,-0.4799494755318674,False
2016-03-31,2016-01-01,VEND,-0.9200671107550817,False
2016-03-31,2016-01-01,DNB,-0.9634742086095295,False
2016-03-31,2016-01-01,AKRBP,-1.385883512443417,False
2016-04-29,2016-01-30,AFG,0.8155646442312675,True
2016-04-29,2016-01-30,STB,0.6383395718485907,True
2016-04-29,2016-01-30,NHY,0.40883005841238385,True
2016-04-29,2016-01-30,SALM,0.3582517877357902,True
2016-04-29,2016-01-30,TOM,0.27898599562082116,True
2016-04-29,2016-01-30,FRO,0.23674066373579528,False
2016-04-29,2016-01-30,ORK,0.19953529751242055,False
2016-04-29,2016-01-30,ATEA,0.1811320548157499,False
2016-04-29,2016-01-30,BRG,0.1554721543847175,False
2016-04-29,2016-01-30,YAR,0.12714455145716316,False
2016-04-29,2016-01-30,VEI,0.12429611176945349,False
2016-04-29,2016-01-30,MOWI,0.10297904354383622,False
2016-04-29,2016-01-30,PROT,0.01821725757887338,False
2016-04-29,2016-01-30,SUBC,0.015514385538492742,False
2016-04-29,2016-01-30,GJF,0.0010199272664945316,False
2016-04-29,2016-01-30,TEL,-0.014948368694613797,False
2016-04-29,2016-01-30,NOD,-0.05132582397210082,False
2016-04-29,2016-01-30,KOG,-0.11682476860169991,False
2016-04-29,2016-01-30,EQNR,-0.4799494755318674,False
2016-04-29,2016-01-30,VEND,-0.9200671107550817,False
2016-04-29,2016-01-30,DNB,-0.9634742086095295,False
2016-04-29,2016-01-30,AKRBP,-1.385883512443417,False
2016-05-31,2016-03-02,AFG,0.8155646442312675,True
2016-05-31,2016-03-02,STB,0.6383395718485907,True
2016-05-31,2016-03-02,NHY,0.40883005841238385,True
2016-05-31,2016-03-02,SALM,0.3582517877357902,True
2016-05-31,2016-03-02,TOM,0.27898599562082116,True
2016-05-31,2016-03-02,FRO,0.23674066373579528,False
2016-05-31,2016-03-02,ORK,0.19953529751242055,False
2016-05-31,2016-03-02,ATEA,0.1811320548157499,False
2016-05-31,2016-03-02,BRG,0.1554721543847175,False
2016-05-31,2016-03-02,YAR,0.12714455145716316,False
2016-05-31,2016-03-02,VEI,0.12429611176945349,False
2016-05-31,2016-03-02,MOWI,0.10297904354383622,False
2016-05-31,2016-03-02,PROT,0.01821725757887338,False
2016-05-31,2016-03-02,SUBC,0.015514385538492742,False
2016-05-31,2016-03-02,GJF,0.0010199272664945316,False
2016-05-31,2016-03-02,TEL,-0.014948368694613797,False
2016-05-31,2016-03-02,NOD,-0.05132582397210082,False
2016-05-31,2016-03-02,KOG,-0.11682476860169991,False
2016-05-31,2016-03-02,EQNR,-0.4799494755318674,False
2016-05-31,2016-03-02,VEND,-0.9200671107550817,False
2016-05-31,2016-03-02,DNB,-0.9634742086095295,False
2016-05-31,2016-03-02,AKRBP,-1.385883512443417,False
2016-06-30,2016-04-01,MOWI,1.082839660349718,True
2016-06-30,2016-04-01,AFG,0.6856451444557828,True
2016-06-30,2016-04-01,STB,0.590200162815737,True
2016-06-30,2016-04-01,SALM,0.48816856192507974,True
2016-06-30,2016-04-01,TOM,0.22823143341166266,True
2016-06-30,2016-04-01,NHY,0.21445973003280433,False
2016-06-30,2016-04-01,NOD,0.1473605796268269,False
2016-06-30,2016-04-01,ORK,0.08866125191313125,False
2016-06-30,2016-04-01,BRG,0.0747574856867865,False
2016-06-30,2016-04-01,YAR,0.06562891082273538,False
2016-06-30,2016-04-01,SUBC,0.0458704732645385,False
2016-06-30,2016-04-01,VEND,0.022245281358651135,False
2016-06-30,2016-04-01,ATEA,-0.0015040594762018786,False
2016-06-30,2016-04-01,TEL,-0.007510753378115409,False
2016-06-30,2016-04-01,GJF,-0.007574142360291712,False
2016-06-30,2016-04-01,VEI,-0.029286868658648657,False
2016-06-30,2016-04-01,PROT,-0.11781309084589281,False
2016-06-30,2016-04-01,KOG,-0.24947234747715186,False
2016-06-30,2016-04-01,EQNR,-0.39849415952500644,False
2016-06-30,2016-04-01,FRO,-0.41766770003786746,False
2016-06-30,2016-04-01,DNB,-0.8996003824249473,False
2016-06-30,2016-04-01,AKRBP,-1.7881516949687084,False
2016-07-29,2016-04-30,MOWI,1.082839660349718,True
2016-07-29,2016-04-30,AFG,0.6856451444557828,True
2016-07-29,2016-04-30,STB,0.590200162815737,True
2016-07-29,2016-04-30,SALM,0.48816856192507974,True
2016-07-29,2016-04-30,TOM,0.22823143341166266,True
2016-07-29,2016-04-30,NHY,0.21445973003280433,False
2016-07-29,2016-04-30,NOD,0.1473605796268269,False
2016-07-29,2016-04-30,ORK,0.08866125191313125,False
2016-07-29,2016-04-30,BRG,0.0747574856867865,False
2016-07-29,2016-04-30,YAR,0.06562891082273538,False
2016-07-29,2016-04-30,SUBC,0.0458704732645385,False
2016-07-29,2016-04-30,VEND,0.022245281358651135,False
2016-07-29,2016-04-30,ATEA,-0.0015040594762018786,False
2016-07-29,2016-04-30,TEL,-0.007510753378115409,False
2016-07-29,2016-04-30,GJF,-0.007574142360291712,False
2016-07-29,2016-04-30,VEI,-0.029286868658648657,False
2016-07-29,2016-04-30,PROT,-0.11781309084589281,False
2016-07-29,2016-04-30,KOG,-0.24947234747715186,False
2016-07-29,2016-04-30,EQNR,-0.39849415952500644,False
2016-07-29,2016-04-30,FRO,-0.41766770003786746,False
2016-07-29,2016-04-30,DNB,-0.8996003824249473,False
2016-07-29,2016-04-30,AKRBP,-1.7881516949687084,False
2016-08-31,2016-06-02,MOWI,1.082839660349718,True
2016-08-31,2016-06-02,AFG,0.6856451444557828,True
2016-08-31,2016-06-02,STB,0.590200162815737,True
2016-08-31,2016-06-02,SALM,0.48816856192507974,True
2016-08-31,2016-06-02,TOM,0.22823143341166266,True
2016-08-31,2016-06-02,NHY,0.21445973003280433,False
2016-08-31,2016-06-02,NOD,0.1473605796268269,False
2016-08-31,2016-06-02,ORK,0.08866125191313125,False
2016-08-31,2016-06-02,BRG,0.0747574856867865,False
2016-08-31,2016-06-02,YAR,0.06562891082273538,False
2016-08-31,2016-06-02,SUBC,0.0458704732645385,False
2016-08-31,2016-06-02,VEND,0.022245281358651135,False
2016-08-31,2016-06-02,ATEA,-0.0015040594762018786,False
2016-08-31,2016-06-02,TEL,-0.007510753378115409,False
2016-08-31,2016-06-02,GJF,-0.007574142360291712,False
2016-08-31,2016-06-02,VEI,-0.029286868658648657,False
2016-08-31,2016-06-02,PROT,-0.11781309084589281,False
2016-08-31,2016-06-02,KOG,-0.24947234747715186,False
2016-08-31,2016-06-02,EQNR,-0.39849415952500644,False
2016-08-31,2016-06-02,FRO,-0.41766770003786746,False
2016-08-31,2016-06-02,DNB,-0.8996003824249473,False
