ticker,period_end_date,fundamental_score,quality_score,growth_score
KOG,2016-06-30,-0.21269166150605257,-0.23205848064716142,-0.15459120408272603
EQNR,2016-06-30,-0.46490576336866296,-0.24150300447227407,-1.1351140400578297
DNB,2016-06-30,-0.6429788141452826,-0.8341659618386258,-0.06941737106525261
STB,2016-06-30,-0.9424750623711152,-1.2658006567190954,0.027501720672824803
FRO,2016-06-30,-0.9615703491432122,-0.9033131756055336,-1.136341869756248
AKRBP,2016-06-30,-1.628756341934967,-2.123502876695506,-0.14451673765334916
SALM,2016-09-30,1.0896562229649767,1.3010208039539923,0.45556247999793
MOWI,2016-09-30,1.0713830089642353,0.3479370868322918,3.241720775360066
AFG,2016-09-30,0.9048245046132446,1.2026055750296525,0.011481293364021075
NHY,2016-09-30,0.6861216390140709,0.1084565739506729,2.4191168342042646
BRG,2016-09-30,0.4168079991758963,0.5051408928821505,0.15180931805713355
VEI,2016-09-30,0.3228561700615015,0.4572927086206823,-0.08045344561604063
TOM,2016-09-30,0.3133144875227096,0.4176257120154638,0.00038081404444708
ATEA,2016-09-30,0.11097634129466226,0.17818077723489012,-0.09063696652602134
GJF,2016-09-30,0.10516973932664667,0.13017598540464126,0.03015100109266291
ORK,2016-09-30,0.04846673284024178,0.08530877116304134,-0.06205938212815687
PROT,2016-09-30,0.045343534431599594,0.08149602179663824,-0.06311392766351637
NOD,2016-09-30,-0.060771364990862,0.11125288353665161,-0.5768441105734028
SUBC,2016-09-30,-0.08354638754541835,0.18838556547101273,-0.8993422465947116
VEND,2016-09-30,-0.09387366921203844,0.17854058476911255,-0.9111164311554913
YAR,2016-09-30,-0.13806711655539172,-0.042017461480675075,-0.4262160817795417
TEL,2016-09-30,-0.18539156529506828,-0.13131068263611506,-0.34763421327192795
KOG,2016-09-30,-0.4076926261579796,-0.3891810215804048,-0.46322743989070386
EQNR,2016-09-30,-0.5722460784083279,-0.5196555750372346,-0.7300175885216077
AKRBP,2016-09-30,-0.7802927184278083,-0.7718754922941657,-0.8055443968287362
STB,2016-09-30,-0.8135747107130752,-1.153610471896279,0.2065325728365363
FRO,2016-09-30,-0.9255761023174871,-0.9794116952313174,-0.7640693235759966
DNB,2016-09-30,-1.354214707009654,-1.7067930977358037,-0.296479534831205
SALM,2016-12-31,0.912586494248771,1.0932693754940623,0.370537850512897
AFG,2016-12-31,0.8129677322571313,1.0355827216940143,0.14512276394648244
MOWI,2016-12-31,0.47856061722049015,0.4471243128995425,0.5728695301833332
BRG,2016-12-31,0.4099262753131342,0.4734084282448324,0.2194798165180396
VEI,2016-12-31,0.3939321662409457,0.46722602946753566,0.17405057656117565
